Frame Time, x, y
26.360,-1,-1
26.401,-1,-1
26.443,-1,-1
26.485,-1,-1
26.527,-1,-1
26.568,-1,-1
26.610,-1,-1
26.652,-1,-1
26.693,-1,-1
26.735,-1,-1
26.777,-1,-1
26.818,-1,-1
26.860,-1,-1
26.902,-1,-1
26.944,-1,-1
26.985,-1,-1
27.027,-1,-1
27.069,-1,-1
27.110,-1,-1
27.152,-1,-1
27.194,-1,-1
27.236,-1,-1
27.277,-1,-1
27.319,-1,-1
27.361,-1,-1
27.402,-1,-1
27.444,-1,-1
27.486,-1,-1
27.527,-1,-1
27.569,-1,-1
27.611,-1,-1
27.653,-1,-1
27.694,-1,-1
27.736,-1,-1
27.778,-1,-1
27.819,-1,-1
27.861,-1,-1
27.903,-1,-1
27.945,-1,-1
27.986,-1,-1
28.028,-1,-1
28.070,-1,-1
28.111,-1,-1
28.153,-1,-1
28.195,-1,-1
28.237,-1,-1
28.278,-1,-1
28.320,-1,-1
28.362,-1,-1
28.403,-1,-1
28.445,-1,-1
28.487,-1,-1
28.528,-1,-1
28.570,-1,-1
28.612,-1,-1
28.654,-1,-1
28.695,-1,-1
28.737,-1,-1
28.779,-1,-1
28.820,-1,-1
28.862,-1,-1
28.904,-1,-1
28.946,-1,-1
28.987,-1,-1
29.029,-1,-1
29.071,-1,-1
29.112,-1,-1
29.154,-1,-1
29.196,-1,-1
29.238,-1,-1
29.279,-1,-1
29.321,-1,-1
29.363,-1,-1
29.404,-1,-1
29.446,-1,-1
29.488,-1,-1
29.530,-1,-1
29.571,-1,-1
29.613,-1,-1
29.655,-1,-1
29.696,-1,-1
29.738,-1,-1
29.780,-1,-1
29.821,-1,-1
29.863,-1,-1
29.905,-1,-1
29.947,-1,-1
29.988,-1,-1
30.030,-1,-1
30.072,-1,-1
30.113,-1,-1
30.155,-1,-1
30.197,-1,-1
30.239,-1,-1
30.280,-1,-1
30.322,-1,-1
30.364,-1,-1
30.405,-1,-1
30.447,-1,-1
30.489,-1,-1
30.530,-1,-1
30.572,-1,-1
30.614,-1,-1
30.656,-1,-1
30.697,-1,-1
30.739,-1,-1
30.781,-1,-1
30.822,-1,-1
30.864,-1,-1
30.906,-1,-1
30.948,-1,-1
30.989,-1,-1
