Frame Time, x, y
37.913,49,577
37.955,49,577
37.996,49,577
38.038,49,577
38.080,49,576
38.121,49,576
38.163,49,576
38.205,49,576
38.247,49,576
38.288,49,576
38.330,49,576
38.372,49,576
38.413,49,575
38.455,48,576
38.497,48,576
38.539,49,575
38.580,49,575
38.622,49,575
38.664,49,575
38.705,49,575
38.747,48,575
38.789,48,575
38.830,48,575
38.872,48,575
38.914,48,575
38.956,48,575
38.997,48,575
39.039,48,575
39.081,48,575
39.122,48,575
39.164,48,575
39.206,48,575
39.248,48,574
39.289,48,575
39.331,48,575
39.373,48,575
39.414,48,574
39.456,48,574
39.498,48,574
39.540,48,574
39.581,48,574
39.623,48,574
39.665,48,574
39.706,48,574
39.748,48,574
39.790,48,574
39.831,48,574
39.873,48,574
39.915,48,574
39.957,48,574
39.998,48,574
40.040,48,574
40.082,48,574
40.123,48,574
40.165,48,574
40.207,48,574
40.249,48,573
40.290,48,574
40.332,48,574
40.374,48,574
40.415,48,573
40.457,48,573
40.499,48,574
40.540,48,573
40.582,48,573
40.624,48,573
40.666,48,573
40.707,48,573
40.749,48,573
40.791,48,573
40.832,48,573
40.874,48,573
40.916,48,573
40.958,48,573
40.999,48,573
41.041,48,573
41.083,48,573
41.124,48,573
41.166,48,573
41.208,48,573
41.250,48,573
41.291,48,573
41.333,48,573
41.375,48,573
41.416,48,574
41.458,48,574
41.500,48,574
41.542,48,574
41.583,48,574
41.625,48,574
41.667,48,574
41.708,48,574
41.750,48,574
41.792,48,574
41.833,48,574
41.875,48,574
41.917,48,574
41.959,48,574
42.000,48,574
42.042,48,574
42.084,48,574
42.125,48,574
42.167,48,574
42.209,48,574
42.251,48,574
42.292,48,574
42.334,48,574
42.376,48,574
42.417,48,574
42.459,48,574
42.501,48,574
42.543,48,574
42.584,48,574
42.626,48,574
42.668,48,574
42.709,48,574
42.751,48,574
42.793,48,574
42.834,48,574
42.876,48,574
42.918,48,574
42.960,48,574
43.001,48,574
43.043,48,574
43.085,48,574
43.126,48,574
43.168,48,574
43.210,48,574
43.252,54,86
43.293,48,574
43.335,53,86
43.377,48,574
43.418,48,574
43.460,51,87
43.502,48,574
43.543,48,574
43.585,48,574
43.627,48,574
43.669,48,574
43.710,48,574
43.752,48,574
43.794,48,574
43.835,48,574
43.877,48,574
43.919,48,573
43.961,48,573
44.002,48,574
44.044,48,574
44.086,48,573
44.127,48,573
44.169,48,573
44.211,48,573
44.253,48,573
44.294,48,573
44.336,48,573
44.378,48,574
44.419,48,573
44.461,48,573
44.503,48,574
44.545,48,574
44.586,48,573
44.628,48,573
44.670,48,573
44.711,48,573
44.753,48,573
44.795,48,573
44.836,48,573
44.878,48,573
44.920,52,87
44.962,48,573
45.003,48,573
45.045,48,573
45.087,54,85
45.128,54,85
45.170,53,85
45.212,55,85
45.254,48,573
45.295,53,86
45.337,56,84
45.379,48,573
45.420,48,573
45.462,48,573
45.504,54,86
45.546,48,573
45.587,52,87
45.629,48,573
45.671,48,573
45.712,52,87
45.754,52,86
45.796,150,65
45.837,48,573
45.879,48,573
45.921,48,573
45.963,48,573
46.004,48,573
46.046,48,573
46.088,48,573
46.129,52,86
46.171,48,573
46.213,52,86
46.255,51,87
46.296,48,573
46.338,48,573
46.380,52,87
46.421,59,83
46.463,53,85
46.505,51,87
46.546,57,83
46.588,55,84
46.630,152,64
46.672,54,85
46.713,55,84
46.755,192,67
46.797,56,84
46.838,55,84
46.880,169,65
46.922,191,66
46.964,190,66
47.005,189,66
47.047,189,67
47.089,197,67
47.130,193,66
47.172,191,66
47.214,196,66
47.256,307,59
47.297,196,66
47.339,198,67
47.381,306,59
47.422,198,65
47.464,199,66
47.506,197,65
47.548,325,59
47.589,327,59
47.631,325,60
47.673,320,59
47.714,327,59
47.756,326,59
47.798,328,59
47.839,331,59
47.881,327,59
47.923,330,59
47.965,328,59
48.006,325,59
48.048,327,59
48.090,325,58
48.131,328,59
48.173,326,59
48.215,326,59
48.257,332,60
48.298,331,58
48.340,333,58
48.382,340,59
48.423,209,62
48.465,334,59
48.507,335,59
48.549,334,58
48.590,213,58
48.632,214,60
48.674,208,62
48.715,352,57
48.757,210,60
48.799,212,59
48.840,213,58
